# Laberinto 15x15 — 2026-06-01 18:33:41
Timestamp;Fecha;Tipo;Titular;RespuestaJugador;RespuestaCorrecta;Correcto;TiempoRespuesta_s;TiempoTotal_s
18:33:53;2026-06-01;TotemRespuesta;Video de prueba;Real;Real;True;6,1;
18:34:16;2026-06-01;TotemRespuesta;Las vacunas causan autismo según nuevos estudios;Real;Falso;False;3,0;
18:34:22;2026-06-01;TotemRespuesta;El chocolate negro previene enfermedades cardíacas;Falso;Real;False;1,7;
18:34:28;2026-06-01;TotemRespuesta;El chocolate negro previene enfermedades cardíacas;Real;Real;True;5,5;
18:34:54;2026-06-01;TotemRespuesta;Video de prueba 2;Real;Falso;False;2,0;
18:35:07;2026-06-01;TotemRespuesta;Video de prueba;Real;Real;True;3,1;
18:35:14;2026-06-01;TotemRespuesta;Audio de prueba;Real;Real;True;2,2;
18:35:33;2026-06-01;TotemRespuesta;Video de prueba 2;Falso;Falso;True;2,0;
18:35:51;2026-06-01;TotemRespuesta;Audio de prueba;Real;Real;True;2,3;
18:36:09;2026-06-01;LaberintoCompletado;;;;;; 147,7
